BJD,RV,FWHM,CONTRAST,BIS,RV_err,FWHM_err,CONTRAST_err,BIS_err,SNR_0,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNR_6,SNR_7,SNR_8,SNR_9,SNR_10,SNR_11,SNR_12,SNR_13,SNR_14,SNR_15,SNR_16,SNR_17,SNR_18,SNR_19,SNR_20,SNR_21,SNR_22,SNR_23,SNR_24,SNR_25,SNR_26,SNR_27,SNR_28,SNR_29,SNR_30,SNR_31,SNR_32,SNR_33,SNR_34,SNR_35,SNR_36,SNR_37,SNR_38,SNR_39,SNR_40,SNR_41,SNR_42,SNR_43,SNR_44,SNR_45,SNR_46,SNR_47,SNR_48,SNR_49,SNR_50,SNR_51,SNR_52,SNR_53,SNR_54,SNR_55,SNR_56,SNR_57,SNR_58,SNR_59,HALPHA
2458700.47479,-5.01274824,12.24567647,10.13752089,-0.10925181,0.00798261,0.0766943,0.05059152,0.0196617,0.62285,0.98067,1.7554,3.402,6.1676,9.3524,11.845,12.984,15.837,16.897,19.388,22.366,25.872,27.345,23.508,28.569,32.864,37.712,40.469,38.756,38.628,45.721,51.873,56.532,61.369,63.121,63.832,60.312,61.513,58.711,69.708,74.922,73.828,70.503,81.509,95.056,100.57,103.0,74.091,96.268,98.934,97.093,98.588,87.396,89.43,92.629,92.095,92.711,91.377,88.758,77.124,69.068,63.7,32.289,29.203,23.092,4.9196,0.72382,0.60574,0.58558,2.25949
2458702.502,-5.2201739,12.67955899,10.05660703,0.0672582,0.01690944,0.10092698,0.06348545,0.04263905,0.57531,0.84245,1.3905,2.4431,4.2412,6.1139,7.8149,8.4073,10.116,10.716,11.981,13.627,15.641,16.506,13.366,16.535,19.168,21.942,23.384,21.75,21.732,25.449,29.083,31.523,34.226,35.284,35.447,33.145,33.686,31.954,37.796,40.677,40.119,37.605,43.42,51.786,54.745,56.079,39.761,52.523,53.996,53.11,53.974,47.044,48.573,50.667,50.593,51.081,50.62,49.153,42.438,37.541,34.189,15.13,13.938,10.765,1.8996,0.63443,0.60239,0.56316,2.60465
2458704.48686,-4.92434832,12.27062346,10.12660407,-0.17030779,0.00792491,0.076616,0.05037009,0.01965466,0.71842,1.1966,1.8164,3.5634,6.6444,9.7374,12.247,13.699,16.578,17.659,20.89,24.223,28.19,30.204,26.119,32.267,36.662,42.233,45.397,44.038,44.276,52.064,59.166,64.419,70.282,72.486,73.552,70.184,71.402,68.415,81.14,86.974,86.011,82.383,95.383,110.08,115.9,118.75,86.282,111.56,114.27,112.38,113.72,101.18,103.89,106.73,105.62,105.84,104.03,101.02,88.302,79.544,72.966,40.622,35.251,26.91,5.7471,0.70323,0.60401,0.54223,2.53294
2458704.48686,-4.92434832,12.27062346,10.12660407,-0.17030779,0.00792491,0.076616,0.05037009,0.01965466,0.99079,1.6807,2.7215,5.1775,9.1267,12.931,16.008,17.641,21.182,21.697,25.617,29.041,33.371,35.332,30.542,36.642,41.464,47.123,50.332,47.97,47.874,55.496,62.545,67.458,72.881,74.402,74.859,70.621,71.399,67.633,79.053,85.031,83.229,79.653,90.322,103.65,108.68,110.18,79.194,101.68,103.64,101.18,101.76,89.726,91.525,93.347,91.379,91.078,88.899,85.704,74.438,66.583,61.182,32.906,28.193,20.863,3.7555,0.72728,0.70001,0.66505,2.53745
2458706.49335,-5.12629228,12.61888801,9.72918876,0.00723596,0.00973672,0.10111662,0.0618643,0.02491329,0.65563,0.74443,0.89725,1.704,3.2797,5.2529,7.4032,8.5372,10.7,12.362,14.613,17.742,21.18,23.154,19.637,24.578,29.703,34.691,37.739,36.647,37.195,44.342,50.773,55.168,59.966,62.75,63.625,60.718,62.137,59.153,68.77,73.759,73.465,67.471,76.78,93.576,100.06,102.5,73.156,94.051,95.83,92.847,93.535,79.8,81.773,85.223,84.755,84.713,82.728,79.271,66.101,56.881,50.063,16.214,18.146,16.326,3.2493,0.75101,0.71121,0.70767,2.33205
2458706.49335,-5.12629228,12.61888801,9.72918876,0.00723596,0.00973672,0.10111662,0.0618643,0.02491329,0.65383,0.71769,0.8502,1.5586,2.9583,4.9844,6.9008,8.3595,10.652,12.108,14.444,17.56,21.539,23.423,20.093,25.453,30.751,35.998,39.541,38.337,39.027,46.722,53.747,58.748,63.938,66.983,68.301,65.579,66.847,64.143,74.336,79.926,79.714,73.305,83.611,101.84,109.38,111.85,80.264,103.36,105.14,102.3,103.19,88.495,90.749,94.303,94.141,94.007,92.155,88.103,73.762,63.613,56.339,18.909,21.265,19.048,3.946,0.66716,0.57891,0.62732,2.33691
2458711.4428,-5.21714885,12.53545505,9.5880181,0.1776734,0.00678526,0.08773368,0.05329727,0.01804117,0.6612,0.76297,1.157,2.4788,5.0537,7.7724,10.198,11.788,15.15,16.909,20.444,24.186,29.018,31.663,27.951,34.498,41.097,47.969,52.445,51.544,52.581,62.506,71.726,78.561,85.838,89.746,91.789,87.956,90.04,86.273,101.11,108.99,108.43,101.18,116.34,138.19,147.15,150.81,107.89,138.91,141.84,138.16,139.34,120.92,122.89,126.12,125.91,125.53,122.01,116.96,99.226,86.299,77.969,32.281,31.508,26.853,5.8746,0.70885,0.64113,0.55766,2.6335
2458711.4428,-5.21714885,12.53545505,9.5880181,0.1776734,0.00678526,0.08773368,0.05329727,0.01804117,0.68216,0.92064,1.2456,2.9507,5.9069,8.8738,11.436,13.204,16.568,18.443,22.181,25.919,31.149,33.616,29.744,37.057,43.284,50.341,55.02,53.778,55.038,65.107,74.757,81.708,88.895,92.945,95.062,90.917,93.057,89.375,104.85,112.81,112.08,104.65,120.53,142.72,152.27,155.74,111.75,143.84,146.9,143.16,144.43,124.54,127.97,131.96,130.7,130.49,127.09,121.82,103.52,90.321,81.86,34.977,34.252,28.815,6.5694,0.75504,0.62807,0.55111,2.60452
2458712.45038,-5.30885894,12.53743463,9.86747025,0.21700459,0.00809123,0.08800583,0.05501343,0.02195822,0.66909,1.0687,1.8863,3.7037,6.3811,9.4919,12.154,13.6,16.79,18.042,20.751,24.018,28.231,30.322,25.896,31.947,37.049,42.665,45.659,44.314,44.606,52.378,59.579,64.678,70.339,72.878,73.954,70.59,72.1,68.749,80.248,86.673,86.218,80.918,92.782,109.88,116.8,119.78,86.549,112.09,114.95,112.3,113.82,98.864,102.06,106.49,106.3,106.98,105.27,101.94,87.592,77.169,70.701,31.396,30.623,26.245,6.261,0.75537,0.62403,0.5318,2.3087
2458712.45038,-5.30885894,12.53743463,9.86747025,0.21700459,0.00809123,0.08800583,0.05501343,0.02195822,0.86342,1.6396,2.838,5.3341,8.8227,12.522,15.518,17.313,20.841,21.947,25.39,28.638,33.229,35.179,30.21,36.4,41.779,47.661,50.753,48.902,48.918,56.818,64.35,69.499,75.061,77.185,77.793,73.751,75.034,71.301,82.905,88.897,87.954,82.283,93.888,110.43,116.9,119.49,85.771,110.67,112.58,110.06,110.9,96.587,98.949,102.52,101.81,102.12,100.1,96.535,82.867,72.119,66.424,29.414,28.579,23.849,5.2627,0.70213,0.60544,0.54634,2.30281
2458714.50492,-4.94096257,12.16181414,10.35052864,-0.08668715,0.0107584,0.06483893,0.04401158,0.02684103,0.72505,1.8378,3.1523,5.6111,8.9745,12.475,15.406,16.464,19.193,20.001,21.9,24.608,27.909,29.11,24.201,28.747,32.647,36.667,38.733,36.315,35.718,41.305,46.388,49.694,53.534,54.332,54.443,50.818,51.303,48.272,56.465,60.39,59.415,55.449,63.432,74.364,78.39,79.93,56.793,73.913,75.813,74.02,74.741,65.575,67.298,69.976,69.685,70.189,69.219,67.048,57.762,51.532,47.174,22.216,20.484,16.396,3.3029,0.57616,0.52669,0.52775,2.48509
2458714.50492,-4.94096257,12.16181414,10.35052864,-0.08668715,0.0107584,0.06483893,0.04401158,0.02684103,0.80144,1.6443,2.7687,5.1205,8.1942,12.009,14.81,15.853,18.908,19.892,22.474,25.427,28.918,30.346,25.947,31.085,35.297,40.158,42.847,40.861,40.484,47.218,53.315,57.251,62.021,63.458,63.56,59.985,60.837,57.319,67.408,72.237,71.236,67.236,76.739,89.181,93.684,95.761,68.171,88.349,90.146,87.932,88.369,77.62,79.26,82.012,80.743,81.014,79.313,76.518,66.073,58.352,53.406,25.943,23.746,18.578,3.749,0.70011,0.64434,0.623,2.46071
2458715.45187,-4.9406153,11.96025642,10.18018741,-0.12323761,0.00568712,0.04612848,0.03137972,0.01424948,0.95635,1.5412,2.263,4.7671,9.0616,12.982,16.279,18.269,22.118,24.286,27.951,32.213,37.902,40.621,35.894,44.029,50.39,58.233,62.44,60.822,61.626,72.866,82.849,90.424,99.181,102.26,103.2,98.731,100.39,96.178,114.41,122.38,120.57,116.79,133.84,153.04,160.48,164.0,118.15,151.1,154.56,151.32,152.79,135.32,138.03,140.36,136.52,135.62,132.32,127.12,110.8,99.464,91.663,52.644,43.629,32.563,6.6124,0.84176,0.71307,0.63483,2.17124
2458715.45187,-4.9406153,11.96025642,10.18018741,-0.12323761,0.00568712,0.04612848,0.03137972,0.01424948,0.83338,1.0017,1.5866,3.678,7.2704,10.989,13.997,16.234,20.159,22.447,26.591,31.093,37.143,40.137,35.689,44.254,50.924,58.827,64.036,62.807,63.528,75.262,86.098,94.227,103.54,107.04,108.28,103.92,106.16,101.66,121.61,130.04,127.77,124.62,142.92,163.45,171.01,175.09,126.55,161.63,165.41,162.04,163.81,145.48,148.04,150.92,146.35,145.35,141.96,136.54,119.32,107.5,99.239,58.116,48.05,35.838,7.5969,0.79195,0.69746,0.52492,2.16082
2458718.4474,-5.08098058,12.08130607,10.28043574,0.07163196,0.00741244,0.05698614,0.03870605,0.0187785,0.99257,2.1879,3.551,6.507,10.717,15.064,18.592,19.992,23.57,25.414,28.274,31.686,36.12,38.213,32.825,39.601,44.31,50.291,53.137,50.867,50.715,58.359,65.964,71.09,76.87,78.475,78.793,74.675,75.551,71.424,84.154,90.164,88.745,84.638,96.527,110.96,116.04,118.56,85.672,110.35,112.88,110.46,111.41,98.801,101.25,104.19,102.88,103.01,101.26,98.068,85.539,76.853,71.328,38.739,34.093,26.143,5.582,0.77402,0.69022,0.59262,2.37939
2458718.4474,-5.08098058,12.08130607,10.28043574,0.07163196,0.00741244,0.05698614,0.03870605,0.0187785,0.99013,2.1107,3.5235,6.4299,10.338,14.194,17.246,18.756,21.82,23.366,25.807,28.897,32.85,34.375,29.534,35.153,39.635,44.725,47.333,45.193,44.925,52.071,58.242,62.741,67.992,69.337,69.386,65.918,66.713,63.116,74.463,79.89,78.807,75.39,86.097,99.096,103.95,106.56,77.162,99.415,102.15,100.29,101.49,90.281,92.623,95.706,94.724,95.394,93.812,91.481,79.812,72.009,67.066,36.538,32.138,24.912,5.4278,0.76358,0.67508,0.60289,2.3768
2458723.46161,-5.0453553,12.16733085,10.26314062,-0.04025245,0.00753794,0.05034194,0.03386409,0.01886837,1.0085,2.0996,3.3878,6.0872,10.438,14.872,18.259,19.616,23.069,24.098,27.541,30.969,35.372,37.199,31.945,38.43,43.078,48.99,51.704,49.69,49.534,57.513,64.742,69.623,75.062,77.097,77.687,73.578,74.683,70.651,82.909,88.882,87.936,82.932,95.075,110.31,116.23,119.06,85.993,110.94,113.36,111.0,112.21,98.8,101.08,104.97,103.73,104.57,102.84,99.229,86.245,77.045,71.121,35.285,31.953,25.767,5.4173,0.81348,0.68439,0.63156,2.31048
2458723.46161,-5.0453553,12.16733085,10.26314062,-0.04025245,0.00753794,0.05034194,0.03386409,0.01886837,1.2199,2.6111,4.2127,7.5205,12.358,17.342,20.613,22.359,26.124,27.141,30.727,34.293,38.885,40.568,34.89,41.406,46.519,52.711,55.652,52.981,52.759,60.661,67.907,72.595,78.213,80.12,80.293,75.986,76.792,72.214,84.579,90.084,89.035,83.532,95.294,110.04,115.82,118.17,84.815,109.06,111.18,108.27,109.22,95.777,97.682,100.87,99.624,99.673,97.743,94.308,81.388,72.345,66.51,32.561,29.619,23.334,4.7488,0.71678,0.67509,0.62085,2.30015
2458724.41769,-5.04455637,12.37026755,9.91774837,-0.15779152,0.00637483,0.06559172,0.04184512,0.01583205,0.79461,1.2533,1.9834,3.7605,7.2483,10.724,14.049,15.878,19.572,21.371,25.341,29.66,34.898,37.37,32.974,40.336,46.667,53.867,58.361,56.558,57.205,67.582,76.431,83.549,91.096,94.106,95.49,91.199,93.038,88.708,104.62,112.11,111.04,105.17,120.86,140.18,147.8,151.25,109.21,140.19,142.98,139.39,140.6,123.59,125.72,129.4,127.72,127.46,124.45,119.81,103.07,91.248,83.812,41.784,37.816,30.237,7.0521,0.82251,0.70931,0.63057,2.1541
2458724.41769,-5.04455637,12.37026755,9.91774837,-0.15779152,0.00637483,0.06559172,0.04184512,0.01583205,1.1675,1.7695,2.4746,5.3322,9.8184,14.139,17.604,19.624,23.82,25.585,30.042,34.524,40.259,42.756,37.893,45.646,52.226,59.997,64.654,62.384,62.848,73.513,83.098,90.051,97.811,100.95,101.68,96.775,98.191,93.06,109.54,116.97,115.23,108.89,124.85,143.65,150.75,153.76,110.16,141.09,143.29,139.32,140.0,122.09,124.28,127.33,124.66,123.47,120.09,115.15,98.655,87.023,79.524,39.162,34.854,27.348,5.5446,0.80331,0.67586,0.65996,2.16566
2458727.47467,-5.23927658,12.43272076,9.72065048,0.02151438,0.00694113,0.06725579,0.04181194,0.01734445,0.74827,0.96839,1.5451,3.0644,6.1476,9.3547,12.255,14.064,17.564,19.408,22.782,26.511,31.435,34.023,29.591,36.539,43.116,49.929,54.058,52.865,53.453,63.034,71.737,77.666,84.596,88.313,89.967,86.61,88.008,83.537,97.033,104.53,104.64,95.97,109.78,130.87,139.63,142.47,102.19,131.84,133.85,129.68,130.28,111.91,114.58,118.84,118.19,118.09,115.36,110.68,92.828,80.338,72.055,26.363,28.359,24.389,5.3255,0.76475,0.67579,0.6288,2.423
2458742.39235,-5.21991207,12.39427316,9.73519931,0.10029115,0.00537012,0.08878265,0.05547372,0.01391929,0.98512,1.2241,2.019,4.1182,7.4919,11.549,15.504,18.241,22.525,24.882,30.263,35.279,41.698,45.215,40.746,50.4,57.471,66.606,71.547,70.357,71.375,83.104,94.088,102.31,111.67,115.17,116.07,110.45,112.39,107.11,126.46,134.53,132.48,127.78,144.56,164.77,171.88,174.8,126.31,160.87,163.55,159.37,159.87,140.3,142.71,144.99,140.63,139.14,135.37,129.64,112.32,100.73,92.305,52.764,44.053,33.183,7.4718,0.72815,0.59906,0.52546,2.36893
2458742.39235,-5.21991207,12.39427316,9.73519931,0.10029115,0.00537012,0.08878265,0.05547372,0.01391929,1.0972,1.6356,2.7297,5.3528,9.5366,14.65,19.123,22.007,27.002,29.391,35.229,40.537,47.529,51.196,46.082,55.89,63.154,72.361,77.504,75.331,75.641,87.139,98.172,106.07,114.68,117.37,117.8,111.63,112.25,106.38,124.55,130.94,128.72,122.63,137.58,155.76,161.24,162.87,116.22,146.77,147.92,143.01,141.83,123.11,123.82,124.9,119.77,116.66,112.12,106.21,91.269,80.685,73.086,40.174,33.013,24.453,4.5278,0.71977,0.64059,0.62876,2.37143
2458743.36705,-4.90386414,12.24851109,9.83804976,-0.27503893,0.00824443,0.0717301,0.04590452,0.02009163,0.55418,0.56569,0.73675,1.2289,2.6586,4.4532,6.2713,7.5129,10.066,11.2,14.309,17.166,21.198,23.765,21.234,27.162,31.949,37.921,41.587,40.999,41.963,50.212,57.63,63.536,70.134,73.005,74.112,71.088,72.814,69.595,82.542,88.803,87.93,84.981,96.925,111.24,116.56,119.24,85.984,110.76,112.87,110.37,111.11,97.895,99.543,101.59,99.062,98.05,95.565,91.542,79.196,70.727,64.818,35.416,29.54,21.838,3.9908,0.63476,0.58267,0.53352,2.25835
2458743.36705,-4.90386414,12.24851109,9.83804976,-0.27503893,0.00824443,0.0717301,0.04590452,0.02009163,0.62458,0.65567,0.90011,1.7705,3.6159,5.6561,7.7573,9.2181,11.903,12.959,16.104,19.115,23.288,25.553,22.511,28.032,32.5,37.917,41.118,39.985,40.376,47.509,54.042,58.788,64.183,65.917,66.449,62.836,63.611,60.557,71.416,76.046,74.614,71.331,80.896,92.175,95.854,97.141,69.238,88.326,89.157,86.867,86.358,75.404,76.199,76.882,74.289,73.008,70.526,67.105,57.498,50.741,45.89,23.937,19.508,13.771,2.0895,0.66552,0.62815,0.61523,2.25346
2458744.35058,-5.01469,12.11535847,10.06146435,-0.03054665,0.00627029,0.05767471,0.0382167,0.01604294,0.76004,1.049,1.5981,3.3803,6.4974,9.9852,12.762,14.628,18.404,20.424,23.761,28.017,33.459,35.926,31.845,39.477,45.559,53.091,57.599,56.02,56.753,66.767,76.088,83.358,91.064,94.53,95.491,91.381,92.872,88.89,104.69,112.32,111.01,105.51,121.21,139.92,147.32,150.2,107.82,138.68,141.19,137.66,138.37,121.5,123.61,125.98,123.72,122.79,119.73,114.86,98.903,87.82,80.302,41.364,36.391,27.834,6.0195,0.71614,0.61535,0.54586,2.19166
2458744.35058,-5.01469,12.11535847,10.06146435,-0.03054665,0.00627029,0.05767471,0.0382167,0.01604294,0.96925,1.47,2.3181,4.7606,8.9959,13.33,16.589,18.564,22.888,25.012,28.681,33.193,38.652,41.342,36.446,44.465,50.703,58.137,62.566,60.45,60.799,70.842,80.227,86.646,94.274,96.92,97.581,92.419,93.366,88.828,103.93,111.0,109.06,103.37,117.43,135.18,141.65,143.98,102.83,131.49,133.47,129.1,130.03,113.52,115.14,116.85,114.33,113.06,109.96,105.11,90.3,79.851,73.035,37.497,32.434,24.837,4.9543,0.73298,0.63058,0.59079,2.18545
2458745.3922,-5.06066937,12.8137463,9.81716105,0.0635279,0.0086941,0.08582618,0.05206974,0.02277051,0.67239,1.0173,1.7376,3.3296,5.9921,9.1468,11.938,13.21,16.558,17.757,20.678,23.775,27.785,29.733,25.783,31.454,36.182,41.733,44.946,42.857,43.222,50.823,58.018,63.109,68.717,70.751,71.059,67.398,68.825,65.424,77.494,82.834,81.452,78.079,89.964,104.04,109.47,112.13,80.059,103.25,105.73,103.65,104.95,92.676,94.6,96.885,95.123,95.061,93.348,90.284,78.481,70.706,65.322,35.0,30.327,23.158,4.7162,0.71298,0.62558,0.56911,2.47649
2458745.3922,-5.06066937,12.8137463,9.81716105,0.0635279,0.0086941,0.08582618,0.05206974,0.02277051,0.65738,0.99753,1.6883,3.2712,5.6673,8.5868,11.205,12.506,15.269,16.693,19.217,21.954,25.705,27.368,23.391,28.578,32.954,37.751,40.584,38.443,38.602,45.259,51.131,55.632,60.76,61.93,62.153,58.315,59.282,56.018,66.116,70.569,69.189,65.8,75.456,87.039,91.362,93.309,65.793,84.737,86.529,84.134,84.754,74.28,75.621,77.228,75.452,74.933,73.388,70.35,60.638,53.811,49.477,24.814,21.418,15.763,2.7011,0.58519,0.56986,0.53855,2.47049
2458755.39907,-5.11895136,12.37245922,9.9484155,-0.04146598,0.0070387,0.05623778,0.03598085,0.01761815,0.88131,1.3837,1.969,3.9845,8.231,11.73,14.89,16.595,20.536,22.243,26.017,29.724,34.782,37.184,32.864,40.24,45.127,52.016,55.996,53.792,53.93,63.015,71.461,78.202,85.461,87.578,87.835,83.174,84.337,80.099,96.105,102.22,99.553,98.401,112.17,126.43,131.64,134.38,95.114,122.25,125.74,123.5,124.64,112.38,113.07,114.28,110.27,109.47,107.0,103.02,91.466,84.173,77.219,48.597,37.934,26.648,4.4858,0.71019,0.61183,0.53484,2.51898
2458757.37218,-5.10728163,12.14997527,10.02801488,0.05521679,0.01747881,0.06254441,0.04117167,0.04556144,0.6874,0.69406,0.71438,0.97359,1.7188,2.7199,3.8333,4.4634,5.8387,6.3211,7.7923,9.3201,11.316,12.362,10.458,13.542,15.818,19.059,20.424,19.608,20.052,23.865,27.544,30.436,33.689,34.872,35.158,33.241,33.744,32.011,38.161,41.483,40.896,38.702,44.648,52.19,54.983,56.341,39.54,51.979,53.117,51.76,52.192,45.597,46.615,47.789,47.088,46.931,46.018,44.264,37.79,33.48,30.325,13.876,11.759,8.5189,1.3649,0.70778,0.64275,0.68815,2.40788
2458757.37218,-5.10728163,12.14997527,10.02801488,0.05521679,0.01747881,0.06254441,0.04117167,0.04556144,0.64817,0.65804,0.79178,1.535,2.8704,4.49,6.002,6.9499,8.8388,9.6129,11.307,13.355,15.974,17.126,14.441,18.191,21.086,24.617,26.382,25.282,25.33,29.892,34.095,37.093,40.58,41.775,42.011,39.656,39.706,37.234,44.096,47.488,46.657,43.301,49.791,57.932,60.032,61.405,42.876,55.946,56.713,55.011,54.952,47.645,48.317,49.202,48.108,47.433,46.212,44.16,37.567,32.894,29.623,13.59,11.23,7.9677,1.2467,0.65488,0.65112,0.61466,2.40574
2458759.36712,-4.79114387,12.4023599,10.35594573,-0.47908674,0.01056264,0.06406167,0.0425541,0.02579046,0.65916,1.0259,1.7885,3.2263,5.8651,8.4231,10.619,11.565,14.143,14.636,17.029,19.288,22.3,23.521,20.157,24.633,27.78,32.0,34.244,32.384,32.486,38.331,43.673,47.599,52.147,53.571,53.774,51.052,51.805,49.658,60.105,64.414,63.268,62.843,72.306,82.367,86.698,89.337,64.257,84.059,86.666,85.989,88.01,80.076,82.409,84.238,82.792,83.675,83.003,81.117,72.906,68.065,63.878,41.571,33.483,24.212,4.7812,0.71065,0.64639,0.59295,2.26204
2458759.36712,-4.79114387,12.4023599,10.35594573,-0.47908674,0.01056264,0.06406167,0.0425541,0.02579046,0.85125,1.444,2.2594,4.1248,7.265,10.12,12.516,13.54,16.348,16.735,19.205,21.785,24.856,25.974,22.014,26.735,30.022,34.15,36.276,33.97,33.781,39.507,44.563,48.74,52.931,53.779,53.556,50.302,51.123,48.429,58.116,62.068,60.448,59.536,68.156,77.297,80.749,82.337,58.838,76.49,78.342,77.481,78.838,71.158,72.655,74.093,72.33,72.571,71.775,69.779,62.284,57.678,53.478,33.963,26.839,18.954,3.2404,0.68584,0.66342,0.69151,2.24625
2458760.30651,-5.12692277,12.23817589,9.70353494,-0.06031202,0.00651681,0.0592938,0.03746019,0.01624325,0.66293,0.71313,0.85212,1.8608,3.6687,6.0835,8.6698,10.576,14.076,16.23,19.866,24.092,29.488,32.463,29.549,37.808,43.859,51.551,56.576,55.682,56.876,67.473,77.47,85.697,93.867,97.011,97.782,92.961,94.956,90.896,108.7,115.61,112.99,111.47,126.63,142.63,147.96,150.9,107.17,136.37,139.16,135.51,135.99,121.5,120.78,121.99,116.6,114.52,110.75,105.31,92.246,83.725,75.956,47.172,36.934,26.431,4.9962,0.65895,0.57157,0.5144,2.48041
2458760.30651,-5.12692277,12.23817589,9.70353494,-0.06031202,0.00651681,0.0592938,0.03746019,0.01624325,0.6479,0.65844,0.98914,1.9531,4.0074,6.5893,9.3429,11.291,14.724,17.056,20.829,24.912,30.138,33.018,30.034,38.114,44.336,52.12,57.093,56.114,57.526,68.307,78.535,86.663,95.577,99.059,100.16,95.76,98.305,94.611,113.28,120.82,118.72,116.78,134.27,152.01,158.68,162.75,116.67,149.03,152.72,149.73,151.79,135.61,137.17,139.04,134.14,132.92,129.54,124.18,109.91,100.66,92.375,58.987,46.958,34.504,7.6467,0.77087,0.65437,0.50787,2.47748
2458761.34842,-5.22192637,12.3848007,10.24963385,0.12403383,0.00905458,0.06469405,0.04259847,0.0230912,1.1124,2.3713,3.8724,6.8298,11.124,15.246,18.504,19.498,23.038,23.897,26.372,29.461,33.233,34.454,29.347,34.98,38.841,43.873,46.277,43.617,43.403,49.723,55.646,60.138,64.722,65.988,65.727,61.658,62.322,58.83,69.408,73.88,72.17,69.447,79.103,90.427,94.807,96.993,69.125,88.982,91.216,89.294,90.217,80.349,81.963,83.786,82.433,82.488,81.318,78.77,68.611,62.633,57.981,32.852,27.279,20.285,3.553,0.63921,0.57811,0.58418,2.37201
2458761.34842,-5.22192637,12.3848007,10.24963385,0.12403383,0.00905458,0.06469405,0.04259847,0.0230912,0.85951,1.6491,2.8376,5.3343,8.9762,12.712,15.449,16.652,19.813,20.977,23.326,26.321,30.04,31.616,27.001,32.491,36.249,41.321,43.887,41.85,41.601,48.122,54.14,58.939,63.857,65.166,65.531,61.913,62.587,59.62,70.399,75.389,74.016,71.373,81.663,93.846,98.801,101.19,72.532,93.836,96.275,94.827,96.25,85.758,88.125,90.414,88.836,89.279,88.083,85.679,75.449,68.053,63.825,36.879,31.028,22.914,4.5226,0.66732,0.57233,0.52543,2.37723
2458763.33375,-5.0230935,12.35608652,10.10286938,-0.04418409,0.00713934,0.06946589,0.0452043,0.01776989,1.0432,2.0954,3.3094,6.2148,10.463,14.696,17.957,19.742,23.702,24.86,28.453,32.191,36.864,38.865,34.107,40.773,45.648,51.955,55.466,53.123,53.275,61.381,69.259,75.341,81.612,83.521,83.626,78.997,80.076,76.389,90.633,96.905,94.931,93.145,106.11,119.65,125.09,127.65,92.194,118.31,121.21,119.22,120.33,108.1,110.46,112.02,109.69,109.67,107.84,104.47,92.79,85.437,79.229,49.626,39.871,29.245,5.7846,0.73614,0.65686,0.64597,2.31975
2458763.33375,-5.0230935,12.35608652,10.10286938,-0.04418409,0.00713934,0.06946589,0.0452043,0.01776989,1.06,2.1159,3.4176,6.2757,10.622,15.019,18.17,19.856,23.636,24.846,28.352,31.758,36.013,38.215,33.217,39.942,44.317,50.608,53.512,51.021,50.961,58.815,66.19,71.62,77.709,79.295,79.216,74.716,75.489,71.923,85.328,91.007,89.267,87.578,99.455,111.83,116.48,119.12,85.773,110.07,112.85,110.92,112.07,100.93,102.71,104.53,101.83,101.88,100.11,97.119,86.38,79.721,73.92,47.165,37.543,27.014,5.2604,0.71237,0.67618,0.58275,2.3267
2458765.32649,-5.08852677,12.459627,9.95781974,-0.15284809,0.00671304,0.07390957,0.04695537,0.0166128,1.0938,2.3611,3.8951,6.9521,11.493,16.156,19.974,21.97,26.205,27.824,31.627,35.356,41.066,43.099,37.098,44.628,50.449,57.486,61.524,58.688,58.751,67.27,76.213,82.323,88.97,91.426,91.61,86.392,87.522,83.2,96.838,103.57,101.84,95.97,109.76,127.2,133.87,137.06,97.965,124.94,127.5,124.15,124.96,109.44,111.47,114.39,112.23,112.1,109.61,105.34,90.728,80.273,73.709,36.43,33.044,26.138,5.8196,0.68785,0.56421,0.5444,2.54543
2458765.32649,-5.08852677,12.459627,9.95781974,-0.15284809,0.00671304,0.07390957,0.04695537,0.0166128,0.97577,2.1956,3.7709,6.8851,11.009,15.236,19.055,20.584,24.479,26.092,29.4,33.07,37.656,39.409,33.777,40.772,46.058,52.476,55.839,53.219,53.069,61.335,68.991,74.572,80.591,82.864,83.196,78.241,79.389,75.597,88.043,94.561,92.877,87.821,100.66,117.41,124.22,126.89,90.822,116.44,119.47,116.64,117.63,103.53,105.81,108.96,107.46,107.94,106.26,102.38,88.43,78.595,72.166,35.859,32.98,26.132,5.8691,0.81995,0.69,0.64392,2.54302
2458766.32757,-5.22122293,12.32094346,9.74224854,0.10881608,0.00547049,0.07843906,0.04937668,0.01383576,0.8438,1.2474,2.1265,4.254,7.5071,11.548,15.336,17.685,22.553,24.625,28.823,33.621,39.832,43.236,38.477,47.625,55.042,63.673,69.063,67.955,69.058,80.539,91.504,99.621,108.52,112.65,114.32,109.2,110.83,106.16,123.07,132.1,130.68,123.03,140.04,163.1,171.68,175.51,126.29,160.78,163.55,158.68,158.59,138.05,140.6,143.94,141.12,139.8,136.01,129.91,110.88,97.046,88.098,41.906,38.763,31.251,7.2624,0.80045,0.67685,0.63381,2.49252
