BJD,RV,FWHM,CONTRAST,BIS,RV_err,FWHM_err,CONTRAST_err,BIS_err,SNR_0,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNR_6,SNR_7,SNR_8,SNR_9,SNR_10,SNR_11,SNR_12,SNR_13,SNR_14,SNR_15,SNR_16,SNR_17,SNR_18,SNR_19,SNR_20,SNR_21,SNR_22,SNR_23,SNR_24,SNR_25,SNR_26,SNR_27,SNR_28,SNR_29,SNR_30,SNR_31,SNR_32,SNR_33,SNR_34,SNR_35,SNR_36,SNR_37,SNR_38,SNR_39,SNR_40,SNR_41,SNR_42,SNR_43,SNR_44,SNR_45,SNR_46,SNR_47,SNR_48,SNR_49,SNR_50,SNR_51,SNR_52,SNR_53,SNR_54,SNR_55,SNR_56,SNR_57,SNR_58,SNR_59,HALPHA
2458687.57667,-5.16909378,12.70566711,10.06474198,0.01214015,0.01256547,0.06642137,0.04171401,0.03253469,0.70397,1.0588,1.6718,3.1721,5.6628,8.0812,10.224,11.1,13.327,14.003,15.902,18.01,20.813,21.631,18.083,22.266,25.294,28.98,30.791,29.319,29.073,34.388,38.971,42.27,46.014,47.299,47.527,44.915,45.739,43.553,51.727,55.505,54.661,52.083,60.235,70.94,75.06,77.376,55.143,72.458,74.578,73.519,75.268,66.826,68.554,71.581,71.192,72.27,71.418,69.736,60.816,54.762,50.616,25.384,23.081,17.783,3.4379,0.70508,0.65208,0.64647,2.4607
2458687.57667,-5.16909378,12.70566711,10.06474198,0.01214015,0.01256547,0.06642137,0.04171401,0.03253469,0.6017,1.1635,2.1237,3.7272,6.424,9.341,11.385,12.315,14.596,15.45,17.619,19.703,22.578,23.65,19.874,24.008,27.418,31.335,33.144,31.257,31.195,36.722,41.458,45.029,48.642,49.567,50.098,47.378,48.152,45.603,54.078,57.951,56.906,54.656,62.921,73.447,77.695,79.503,56.378,74.022,76.131,74.694,76.24,67.501,69.272,71.822,71.061,71.874,71.268,69.17,60.222,54.091,49.86,25.117,22.288,16.963,3.1864,0.57514,0.55346,0.51247,2.46875
2458688.57724,-5.20801071,12.35703765,9.99185091,0.13005903,0.01379022,0.06513028,0.04191114,0.03572428,0.5915,0.76756,1.0547,2.088,4.2311,6.2264,7.9532,9.0348,10.945,11.816,13.609,15.723,18.222,19.48,16.171,20.076,23.161,26.677,28.613,27.405,27.46,31.923,36.435,39.648,42.723,44.316,44.5,42.181,42.724,40.292,47.268,51.063,50.12,46.671,52.928,63.371,67.333,68.698,48.731,63.666,65.007,63.209,63.876,55.195,56.485,58.837,58.442,58.552,57.544,55.416,46.949,40.918,36.909,14.099,13.719,11.033,1.9204,0.57159,0.5619,0.54713,2.3862
2458688.57724,-5.20801071,12.35703765,9.99185091,0.13005903,0.01379022,0.06513028,0.04191114,0.03572428,0.73308,1.3089,2.232,4.3023,7.5604,11.081,13.513,14.889,17.847,19.066,21.433,24.198,28.023,29.479,24.905,30.09,34.542,39.157,41.595,39.889,39.504,46.09,51.938,55.477,59.794,61.641,62.073,58.947,59.23,55.991,65.119,69.686,68.574,63.616,71.701,85.201,90.286,91.797,64.841,84.538,86.112,83.542,83.969,71.849,74.162,76.788,76.442,76.467,74.807,71.963,61.051,53.19,47.904,18.635,18.576,15.047,2.7355,0.57924,0.56213,0.53707,2.36119
2458690.55488,-4.9599412,12.46691089,9.75034315,-0.21293115,0.00649056,0.07193428,0.04471966,0.01591396,0.83937,1.433,1.9912,4.3903,8.3411,12.28,15.32,17.279,21.057,23.181,26.885,30.712,35.408,38.196,34.111,41.348,46.997,53.765,57.826,56.349,56.894,66.856,76.0,82.702,90.087,93.236,94.288,90.446,92.056,88.674,105.18,112.3,110.4,108.9,124.09,140.82,148.15,151.24,109.82,140.97,144.46,142.27,144.48,129.58,132.5,134.85,131.46,130.94,128.04,124.09,109.56,100.43,92.625,57.433,46.682,34.71,7.307,0.7597,0.67501,0.64025,2.56752
2458690.55488,-4.9599412,12.46691089,9.75034315,-0.21293115,0.00649056,0.07193428,0.04471966,0.01591396,1.1929,2.0423,2.9195,5.7125,10.375,15.136,18.365,20.206,24.122,26.02,29.819,33.935,39.001,41.285,36.68,43.989,49.262,56.258,60.155,58.207,58.298,68.04,76.77,83.155,90.605,93.226,93.443,89.318,90.439,86.673,102.71,109.25,106.95,105.15,119.2,134.95,140.98,143.77,103.59,133.22,136.06,133.94,135.12,121.41,123.38,125.31,121.61,121.22,118.54,114.49,101.15,92.85,85.391,52.95,42.853,31.715,6.4773,0.85942,0.78845,0.69287,2.55304
2458691.50277,-4.86128936,12.65661009,10.2783769,-0.35342475,0.01243823,0.07925628,0.05106088,0.03048859,0.69373,1.3652,2.2757,4.061,6.8436,9.6876,11.818,12.598,15.009,15.141,17.272,19.498,22.122,22.909,18.911,22.637,26.024,29.846,31.644,29.611,29.156,34.094,39.063,42.193,45.184,46.711,46.725,44.161,44.677,42.283,49.963,53.544,52.829,49.373,56.773,68.428,73.076,75.052,53.611,70.142,71.788,70.738,72.235,63.239,65.208,68.423,68.728,69.857,69.263,67.391,58.129,51.537,47.144,20.006,19.885,16.283,3.2047,0.59304,0.53564,0.50992,2.25248
2458691.50277,-4.86128936,12.65661009,10.2783769,-0.35342475,0.01243823,0.07925628,0.05106088,0.03048859,0.74265,1.4718,2.5648,4.4797,7.5279,10.507,12.465,13.372,15.672,15.883,18.157,20.298,23.091,23.709,19.445,23.408,26.967,30.619,32.223,30.368,29.799,35.164,39.541,42.556,45.819,47.015,47.05,44.409,44.772,42.594,49.876,53.593,52.502,49.213,56.593,67.877,72.373,74.193,52.883,69.105,71.03,69.483,70.79,61.994,63.676,66.724,66.898,67.714,66.946,65.277,56.216,49.732,45.381,19.375,18.9,15.474,3.0171,0.71831,0.65555,0.61041,2.23344
2458693.54684,-5.19031635,12.19864046,9.90240184,0.01195577,0.00548834,0.07805064,0.05050808,0.01373696,1.1118,1.7429,2.8712,5.6082,9.7304,14.404,18.301,20.919,25.188,27.592,32.799,36.928,43.326,46.219,40.772,50.325,57.07,65.42,69.676,68.438,68.75,80.154,90.834,98.245,106.89,110.05,110.93,106.19,107.82,102.9,121.09,128.7,126.62,122.28,138.56,157.19,164.44,167.05,121.06,154.24,156.74,153.0,153.93,135.76,138.14,140.25,136.33,135.02,131.32,126.15,109.78,98.397,90.366,52.003,43.6,32.615,7.1837,0.89292,0.79434,0.68699,2.31541
2458693.54684,-5.19031635,12.19864046,9.90240184,0.01195577,0.00548834,0.07805064,0.05050808,0.01373696,0.71944,0.9062,1.2858,2.7891,5.5105,8.8024,11.835,13.817,17.596,19.626,24.315,28.06,33.893,36.875,33.21,41.974,48.2,56.152,60.965,60.732,62.039,73.728,84.284,92.347,101.44,105.67,107.61,103.86,106.74,103.18,122.3,130.66,129.53,126.6,144.78,165.1,173.98,177.63,129.72,166.78,170.5,167.56,169.6,150.71,154.16,157.51,154.02,153.63,150.14,145.1,127.16,114.58,105.64,62.275,52.688,40.048,9.766,1.0191,0.85479,0.60707,2.29299
